,Misery,gpt-4o,gpt-4o-mini,gpt-3.5-turbo,labels
75,Sister-in-Law Pulls You into a Pyramid Scheme,3,4,8,3
76,You ate cat vomit on TV and thought it was Grape-Nuts,6,4,9,3
77,Your Seat Mate's Leg Oozes Pus,7,7,6,3
78,You Gulp a Mouthful of Las Vegas Pool Party Water,3,4,3,3
79,Whoops! You Eat a Quart of Paint when you thought it was yogurt,8,3,8,3
80,You Get Both Nipples Pierced,2,3,8,3
81,Your Snot Drips on Live TV,3,3,3,3
82,Oops! You Re-Gift a Present to the Person Who Gave it to You,3,3,3,3
83,You're Dangling Above a Mall Dressed as Santa,4,4,7,3
84,Your Holiday Turkey has a diseased muscle,3,4,7,3
85,You mistakenly write 'Molotov' Instead of 'Mazel Tov' to prominent Jewish attorney,3,4,3,3
86,Your New Psychiatrist Keeps Saying Yikes,3,4,6,3
87,You Live To Be 110,2,3,1,3
88,Your Toddler's Birthday Cake Calls Her a Loser,3,8,8,3
89,Your Dental Assitant is Reckless,3,4,7,3
90,Proctologist Tells You They Love You,3,3,8,3
91,Your Husband Virtually Kills You,3,9,10,3
92,Your Plus-One to a Wedding Hijacks the Mic,3,4,8,3
93,Your Mom Ruins Your Audition,6,4,8,3
94,You're Stuck Behind a Garbage Truck for 15 Miles,2,4,4,3
95,Kid Crawls into Your Bathroom Stall,2,4,4,3
96,You fall on your face after stopping yourself from false-starting at the beginning of a track race and lose the race,3,4,7,3
97,You're In a Wood War with Your Neighbor,3,4,8,3
98,You're Unknowingly the Face of an Erotic Novel,6,4,7,3
99,You're Tickled by a Mall Santa in April,2,2,6,3
100,Your Date Won't Shutup About Intermittent Fasting,3,3,4,3
101,You Hear Your Parents Having Sex Three Times,3,4,7,3
102,Your Dog Smashes the Coffee Table,3,3,3,3
103,You find Maggots in your Fried Rice,4,7,8,4
104,You Left your Mic On and Went Toilet,2,4,4,4
105,You offend a room of feminist panelists,3,6,7,4
106,Your testicles get stuck in the shower stool,7,7,9,4
107,You are attacked by a Swarm of Bees,7,7,8,4
108,You and Mom Are Addicted to Cosmetic Surgery,7,7,8,4
109,You are Stuck in Elevator Overnight with Mariah's X-Mas Song on Repeat as the Elevator Song,4,4,10,4
110,Pop Rocks in Your Vagina,6,4,10,4
111,You are accused of chicken shack bomb threat; clarified it was a bowel explosion,3,4,6,4
112,Dad Nearly Drowns You for Clicks,10,9,10,4
113,You're Not Infertile Just Doing It Wrong (Anal Sex),3,4,8,4
114,You Tank a Wedding Toast,3,4,6,4
115,You Get a Public Prostate Exam,6,5,9,4
116,Your Husband Fakes Death to Avoid Paying You,9,8,9,4
117,You Almost Get Carjacked by a Naked Man,8,4,8,4
118,You Suck a Lady's Dirty Foot,3,4,9,4
119,You Have One Happy Day in 129 Years,10,8,9,4
120,Find Your Grandpa's Diary; Discover He Was a Nazi,8,8,9,4
121,You Destroy Kids' Art,3,4,8,4
122,Your Bedtime Story; Alcoholic Dad,6,7,9,4
123,Your Hand Gets Stuck in the Toilet and it Goes Viral,6,4,7,4
124,Your Toddler is Trapped Inside a Skee-Ball Machine,6,9,9,4
125,You Drop a Baby,10,8,9,4
126,You Freeze on Live TV,4,4,7,4
127,You Drop Grandma and She Chips Her last Tooth,8,6,6,4
128,You Accidentally Eat Hash Cake at a Funeral,3,4,8,4
129,You Find Human Remains Outside of a Chili's,7,9,9,4
130,Your Towed Car Rolls into Pool,4,6,8,4
131,An Elephant Hits You in the Face,5,6,8,4
132,You Keep Getting Dropped From a Stretcher during a soccer match,7,7,7,4
133,You're Subpoenaed to Testify Before Congress,5,7,9,4
134,You Get Arrested for Giving a Fake Name even though you have a tattoo with your actual name,3,4,8,4
135,You're Stuck in an Elevator With a Cat & a Sick Person,4,4,5,4
136,You Shred Your Knuckles on a Cheese Grater,3,4,8,4
137,Your Meal Walks off the Plate,3,2,4,4
138,A Stranger urinates on You,7,6,10,4
139,You Knock Out your Accomplice,6,4,8,4
140,911 Operator Threatens to Shoot Your Daughter,10,10,10,4
141,You Pass Out in a Urine Trough,3,5,8,4
142,Hairdresser Sneezes and Gives You Bangs,3,4,8,4
143,Your Girlfriend removed Her Belly Button and gifted it to you,7,4,10,4
144,You're Tortured With Spiders,9,9,10,4
145,You Can't Find Your Car for a Week,5,3,7,4
146,You Get Trapped in a Stranger's Garage,6,4,7,4
147,You Pass Out on Live TV,5,6,8,4
148,An Octopus is Stuck on Your Face,4,5,8,4
149,Your Bus Breaks in Half at the middle while you are standing in the back,4,6,9,4
150,Your Best Friend Marries Your Sister,2,6,7,4
151,You're Convinced There's a Zombie Apocalypse,4,3,7,4
152,You Take a Public Lie Detector Test,4,4,8,4
153,Your Drunken Donkey Ride (you are passed out) while being followed by Security Officers Goes Viral,4,4,8,4
154,You Get Hit by Bull Semen due to Semen explosion at bull insemination plant,7,3,10,4
155,Camel Falls on You,9,6,8,4
156,You Ruin Christmas for Your Kids,5,7,9,4
157,Your Coworkers Won't Miss You,4,4,8,4
158,Your'e Attacked by a Goat,3,3,4,4
159,Your Delivery Truck Rolls Away,3,3,4,4
160,You Get peed on at a Music Festival,4,4,6,4
161,You Cannonball into a Frozen Lake,8,7,9,4
162,Old Woman went nude during Your Zoom Bat Mitzvah,3,6,8,4
163,You're a child and are Attacked by a Bird while riding a scooter,3,3,2,4
164,An Entire Stadium of People Hates You,4,8,9,4
165,You are a Naked sunbatherer and you chased a wild boar after it stole your laptop,3,4,7,4
166,Ding Dong! Someone licked Your Doorbell for 3 hours,2,2,7,4
167,You Find Human Tongues in Your House that possibly belonged to a previous owner,6,10,7,4
168,You Have to Pick Up Dog poop Barehanded,3,3,9,4
169,A Priest Drops Your Baby,5,9,8,4
170,You Get Dragged by a Horse,7,7,8,4
171,No One Comes to Your Loneliness Seminar,3,4,8,4
172,You Help a Friend Move in 100 Degree Heat,3,4,7,4
173,Your Brother Wins Millions while You Win $7 on POWERBALL,3,4,3,4
174,Your Chinese Symbol Tattoo Means Big Load,3,3,8,4
175,You are covered in hair removal strips,3,3,8,4
176,You Slide into First & Feel Something Burst,4,7,9,4
177,You are the goalie. After a soccer ball was saved from going into the goal you celebrated prematurely only for the ball to bounce into the goal,3,4,7,4
178,Nobody Bids on Your Signed Merch at an auction put on by the Anti-Cruelty Society,3,4,3,4
179,You're Tackled by a Cart,3,3,4,4
180,No One Remembers You at HS Reunion,3,4,7,4
181,The Product You're Selling on an infomercial Falls,3,3,4,4
182,You Have to Search for car keys through Elephant poop,3,6,9,4
183,Your Cramp is Alive,3,3,8,4
184,You Throw Up While Proposing,6,7,8,4
185,Your  Neighbor Has an Emotional Support Rooster,3,2,4,4
186,You Attend 5-Hour Wedding: No Drinks No Booze,3,4,7,4
187,You're Harassed by a Camel,3,3,3,4
188,You are Attacked by a bear after Reasoning with the bear,10,9,9,5
189,You Faint During Bride's Vows,6,4,7,5
190,You Butt Dial Your Victim,2,6,4,5
191,Your Boyfriend Pushes You off a Cliff (you survived it),9,9,10,5
192,You Have a Wet Dream About Your Dad,3,4,10,5
193,You lose an election to a dead pimp,3,3,9,5
194,You Slam Your Car into a Building,6,7,8,5
195,Your Breast Implants Make Fart Noises,4,3,4,5
196,Your Parents Terrify You,8,6,8,5
197,You Win Powerball but you lose the Ticket,9,7,9,5
198,You Experience Pains of Labor,8,8,10,5
199,Watch Your Parents Filming Sex Scenes,6,8,10,5
200,Trapped in Your Tub for 5 Days,7,9,10,5
201,You try to Go to Jail to Escape Wife,3,3,9,5
202,Python in Your Toilet,3,3,9,5
203,You all Prayed the Wrong Way for 37 Years,4,6,7,5
204,Everyone Knows You Hate Babies,3,4,3,5
205,There's a Live Leech up Your Nose,7,8,10,5
206,You Accidentally Sext Your Dad,7,7,9,5
207,You're Forced to Get a Jaden Smith Tattoo,3,4,6,5
208,You are blinded by hair dye allergy,9,7,9,5
209,Your Head Gets Stuck in Subway Doors,7,4,7,5
210,You Botch The National Anthem on TV,5,4,7,5
211,You Have Rubbish Teeth,6,3,8,5
212,Accidentally CC the Person You're S**t-Talking,4,7,8,5
213,See Your Dad in a Vintage Porno,4,6,8,5
214,You Flash Everyone at Your Wedding,5,6,8,5
215,A Cow Kicks Your Ass,3,4,7,5
216,You Live Below a Tap Dance Studio,3,4,4,5
217,You Dive Into the High Dive naked,3,4,7,5
218,You End Up Drunk & Pantless on a Train,3,4,6,5
219,You Find a Clown in Your Bedroom,3,4,7,5
220,You're Hit Repeatedly With a Baseball Bat as a pinata,9,10,10,5
221,You Get Kicked in the Head by a Groomsman,3,5,7,5
222,You are a burglar and the Ski Mask on the face drawn using marker Doesn't Fool the Police,4,4,7,5
223,Everyone But You Wins the Lottery,5,4,8,5
224,Your Cat Eats Your Squirrel,4,3,7,5
225,A Ghost Scares Your Baby,2,4,7,5
226,You Fly Off a Water Slide,4,4,6,5
227,Frozen excrement dropped from plane crashed through your roof,4,8,9,5
228,You Lose Your Phone in a Trash Barge,3,6,7,5
229,You are caught after Falling Asleep During Sex in Public in a university hallway,7,4,9,5
230,Dad Steals Your Girl Scout Cookie Money for an Erotic Massage,6,7,10,5
231,Your Car is Dragged for Miles,7,8,9,5
232,You are a doctor who Sucks Out a Passenger's Urine for 37 Minutes Mid-Flight to save his life,3,7,10,5
233,Your Doctor Disses You During Surgery,9,8,9,5
234,You escaped injury when cactus pierced windshield,3,3,3,5
235,Stranger Spits Food in Your Mouth during a road rage incident,7,4,10,5
236,Glass Thermometer Shatters in Your Mouth,9,9,10,5
237,You're Addicted to Cat Fur,4,2,7,5
238,You Can't Stop Orgasming,4,7,10,5
239,Surprise! Your Husband has a Micropenis,3,4,5,5
240,Your Halloween Fangs are Permanently Attached and you are unable to remove them,3,4,8,5
241,Your Girlfriend left $5K tip on Your Credit Card because she was angry at you,3,4,9,5
242,You Are the Ugly Twin,3,4,7,5
243,You caught your husband having sex with your identical twin,9,9,10,5
244,Your audible fart gave away your hiding place (when you are a suspect) which led to your arrest,5,4,9,5
245,You reported not many rattlesnakes under home but a removal company found 45,6,5,8,5
246,You Get Trapped in a Car Wash,3,4,4,5
247,You Hit the Ceiling During Extreme Turbulence,3,7,7,5
248,It's Raining Spiders on You,8,3,10,5
249,You're Crushed in a Black Friday Stampede,9,9,10,5
250,Stranger broke into your home and put up Christmas decorations,4,4,3,5
251,Your Ex Has a New Podcast About You,6,5,8,5
252,You Have a Bug Living in Your Ear,7,7,8,5
253,You're Arrested for Having Sex with a Pile of Leaves,6,3,8,5
254,porta-potty flew in the air & sprayed water on you,3,4,7,5
255,You are a motorcyclist who fell off the ramp at the start of a race you've Fallen and Can't Get Up,7,6,7,5
256,Your Bump N' Grind Burns You,3,4,9,5
257,Your Son is Dating a Cockroach for a year,2,3,10,5
258,Your Pastor is Caught Having Sexy-Time,6,4,8,5
259,You fell into water & inadvertently got kicked in the face after trying to propose to your girlfriend while she was on a motorboat,3,4,8,5
260,You Call Your Boss Mommy During All-Staff Meeting,3,4,7,5
261,Monkey Tries To Kidnap Your Baby,8,8,9,5
262,You are drunk and you pass Out Naked in a Bank as you mistook the bank for bedroom,5,6,8,5
263,You Have a Really Big Toe,1,2,2,5
264,Your Salsa Gets Tea-Bagged,3,3,7,5
265,Your Wine Cellar Self-Destructs on You,3,4,9,5
266,You Get KO'd by a Cat,3,2,2,5
267,You Get Launched at Work,4,7,6,5
268,You Crash into a Seafood Truck While Masturbating when driving,6,6,10,5
269,You're Handcuffed to a Mime for 24 Hours,3,4,8,5
270,You Break Your Body on the Escalator,8,8,9,5
271,You Get Traded for Hotel Reservations,2,4,4,5
272,You are arrested for throwing beer cans out of a horse buggy while drunk in the afternoon,4,4,8,5
273,Your Workout Doesn't Work Out and is a failure,3,4,4,5
274,Your Ice Sculpture Melts Before the Contest,2,3,7,5
275,You Can't Park Anything,3,3,4,5
276,Oops! You Married Your Grandpa,7,7,10,5
277,You've Been Praying to a Public Toilet,3,4,8,5
278,Your Grandma Falls Into a Swamp,7,8,8,5
279,You're As High As a Kite,3,2,4,5
280,You Explode Your Face on Halloween,4,7,10,5
281,You Fight with Your Coworker on Live TV,6,6,7,5
282,Your Pastor Refers to Women as Penis Homes,7,8,10,5
283,You Get Kicked in the Head by a Train Conductor,7,8,10,5
284,You Bounce Into a Pool,1,2,2,5
285,You are breastfed until you are 9,3,3,10,6
286,You are Fired After Donating Kidney to help your Boss,8,9,10,6
287,You as a Teen are forced by your parents to Live in Woods for eating a pop-tart,7,4,8,6
288,You Burn Your Penis Trying to Whiten It,8,6,8,6
289,Your Toes Replace Your Fingers,9,4,10,6
290,You Plummet 30 Stories (you survived it!),9,8,9,6
291,Wife Buys Newspaper Ad About You and Baby Mama,6,7,9,6
292,You Think You Won a Prize; Actually Getting Arrested,6,9,9,6
293,Your Daughter Marries a Roller Coaster,3,3,10,6
294,You're Taken Hostage During a Bank Robbery,9,10,9,6
295,Doctors Misplace Your Bladder,10,9,10,6
296,Your Butt Implants Leak,4,6,8,6
297,You Are Attacked by a Sea Lion,5,4,7,6
298,You are Struck by Lightning 3 Times,9,9,10,6
299,Surprise! You're Having Triplets at 50,8,7,9,6
300,Your Wife Changes Your Dating Profile,3,3,7,6
301,You Find a Spider Living in Your Ear,6,6,9,6
302,Explosive Diarrhea Every Time You Orgasm,8,8,9,6
303,You Have 232 Teeth Removed,9,8,10,6
304,You receive 65000 Texts After One Date,3,4,8,6
305,You Snort Grandpa's ashes,5,8,10,6
306,You Wake up Covered in Fire Ants,8,7,9,6
307,Your Husband Wins lottery and Leaves You,7,7,10,6
308,You Are Impaled Ta-Dah!,8,10,10,6
309,You found a dead mouse inside your can of Red Bull after taking a sip and feeling something hit your lip.,6,7,9,6
310,You're a Principal who hired a pole dancer to welcome kindergartners to school,4,4,10,6
311,Your Dad Accidentally Sexts You,8,7,8,6
312,You Are Addicted to Fortnite,4,4,4,6
313,Your Bride Reads Your Sexts from your affair as Vows,8,9,10,6
314,You Leak Brain Fluid,9,9,10,6
315,You Nearly Drown in a Wave Pool,7,7,8,6
316,A Hawk Steals Your Puppy,8,6,8,6
317,Husband Bulldozes Your House while you were out,8,10,10,6
318,You slip and Break Your Face on TV,6,7,8,6
319,You Catch Your Wife Cheating on Google Street View,5,7,8,6
320,You wrongly hear Your Plane is Crashing,3,9,10,6
321,You Accidentally Trigger a false Incoming Missile Alert,8,8,9,6
322,You Get Hit by a sports Car,7,9,8,6
323,You Get Run Over by a Boat,8,9,10,6
324,A Potato Is Growing in Your Vagina,8,9,10,6
325,You Poop so Hard You Forget a Decade,7,4,9,6
326,Dentures are Lodged In Your Throat eight days after surgery,9,9,9,6
327,A Dog Crashes Into Your Store,2,4,4,6
328,You and Your Family Accidentally Join ISIS,10,9,10,6
329,You Stab Yourself on Live TV on Shop at Home Network,8,8,9,6
330,26 Cockroaches Are Living In Your Ear,8,10,10,6
331,Poison Ivy in Your Mouth and Throat,8,8,9,6
332,You Drive Your Scooter into a Sinkhole,7,7,8,6
333,You Get Stuck in a Meat Locker,6,7,8,6
334,After you advocated caning for adultery you got caned for adultery,6,7,10,6
335,Your Wife divorces You for the Wedding DJ,7,6,8,6
336,A Home Invader Watches Your Sleep,9,10,10,6
337,Person Giving You Mouth-to-Mouth Has Oozing Sore,8,8,9,6
338,You Cause a Bike-a-lanche while riding a cycle down an ice-capped mountain. When you stumble and fall other people riding cycles behind crash into your bike and fall down.,4,4,7,6
339,1700 bats invaded your tiny flat & started mating,7,7,8,6
340,You See Your Mom on an Ad for Escorts,3,8,10,6
341,Your Head Is Stuck in a Tailpipe,4,7,10,6
342,Lose Your Sense of Smell,4,4,7,6
343,A Snake Bites Your Face,7,8,10,6
344,Your Fingernails Fall Off,6,6,8,6
345,You Super Glue Your Eyelid Shut,7,7,9,6
346,Your Daughter Can Only Fall in Love with Objects in San Francisco,3,4,8,6
347,You're Thrown From a Carnival Ride,9,7,8,6
348,You farted during surgery to set operating room on fire,4,7,10,6
349,You Cliff Dive Into a Boat,8,6,8,6
350,You Have Bees Living in Your Eye,10,9,10,6
351,You Destroy a 100-Year-Old Painting,9,8,9,6
352,You went to jail for Masturbating in Horse Fields,8,4,10,6
353,You Shoot Yourself With a Nail Gun in the leg,6,8,8,6
354,You Have Two Vaginas,3,4,2,6
355,Mother-In-Law Pokes Holes in Your Condoms,7,8,9,6
356,You Destroy a Warehouse,7,4,8,6
357,Your are suffering from a Brain Leak From Pilates,8,4,8,6
358,Your Stalker is Stuck in Your Chimney,7,7,9,6
359,Your Wife Won't Have Sex with You,4,6,7,6
360,Your Daughter Demands Emancipation on TikTok,6,4,6,6
361,You Are Mounted by a Stallion,7,5,9,6
362,You Dive Into a Piranha Party,9,7,10,6
363,Your Son has sex with His Car,3,4,10,6
364,Your Head Gets Stuck in Stair Railing Mid-Railing after you tried to spice things up,4,4,8,6
365,Your Boyfriend Slept with Your Mom while on his way to meeting her,8,8,10,6
366,You're Still a Virgin at 75,3,4,9,6
367,You jumped onto a trampoline and then crashed into the Side of a Pool missing the water,5,4,9,6
368,You Spend a Day Wearing the Shame Flute,3,4,7,6
369,Your Stretcher Tips Over,6,6,9,6
370,A Toaster Toasts You,4,1,7,6
371,You Reel in a Trash Bag of Body Parts,9,10,10,6
372,You are Caught Smelling Your Crotch on TV,5,4,8,6
373,You are a lady. Your odd ear condition makes you unable to hear male voices,3,4,8,6
374,You find Out Via Venmo that your Partner is Cheating,8,9,9,6
375,You're Stuck in a Public Toilet,3,3,8,6
376,Fish is removed from your rectum (by doctors) after sitting on it by mistake,7,3,10,6
377,Hockey Puck Bursts Your Implant,4,7,9,6
378,You Get Pummeled by the Vault,6,7,9,6
379,You Dive Through Plate Glass,7,8,8,6
380,You Crap Out During Your Big Interview,4,6,8,6
381,Your Car Gets Stolen & So Do You,6,9,10,6
382,You attempted to steal bus petrol but instead siphoned raw sewage,4,4,8,6
383,An Alligator Bites You,7,7,8,6
384,You Get a DUI Driving Your Lawn Mower,4,4,4,6
385,A Monkey Gives You Herpes,5,6,7,6
386,You're Arrested at a Strip Club During a Field Trip,6,4,8,6
387,You Send a Nude Selfie to HR by mistake,6,7,8,7
388,You go to a doctor. Doctor Borrows $300k from you and  then diagnoses you with Dementia,9,9,10,7
389,You discover your wife cheating in your Uber,7,8,9,7
390,Your Parents Leave You in a Corn Maze,3,4,7,7
391,You bite Your Tongue Off,8,9,9,7
392,Your Wife Calls out Your Cheating on Billboard,8,8,10,7
393,You're an Anti-gay Pastor Caught on Grindr,6,8,9,7
394,Live Tapeworm in Your Brain,9,10,10,7
395,Fired for Letting Kids Drive Your Bus,6,7,9,7
396,You're Stuck in Traffic for 11 Days,6,6,8,7
397,Dad Tries to Circumcise You at 20,9,9,10,7
398,Your Doctor Isn't a Doctor Just A Teen,9,8,9,7
399,Live Eel Removed from Your Body,9,8,10,7
400,You Have a Permanent Bald Spot,5,3,4,7
401,You Go Hang... Gliding,1,2,7,7
402,You Get Accidental Man Boobs,3,4,4,7
403,You Give Birth to Twins 87 Days Apart,5,8,9,7
404,Your Mom Marries Your Son,7,9,10,7
405,You Eat 2 Lbs of Your Own Hair which is then removed from your stomach by doctors,7,8,8,7
406,You Get Mauled by a Chimp,9,9,10,7
407,A Tooth is Growing in Your Nose,6,6,8,7
408,You Find Out Your Lover is Your Brother,10,9,10,7
409,You Shoot Yourself During Gun Demo,9,8,10,7
410,Bleeding occurred in ears & noses because Your Flight Crew Forgets to Pressurize the Plane,8,10,9,7
411,You're Accidentally Circumcised at 70 due to hospital mix-up,7,10,10,7
412,You Get Sucked Into the Escalator,8,7,9,7
413,You Base Jump Into a Cliff,8,7,9,7
414,Doctors plucked an active inch-long parasitic worm From Your Eye,10,10,9,7
415,You Cough Up a Lung-Shaped Blood Clot,8,10,10,7
416,Allergic to Your Husband's Semen,3,6,8,7
417,You're Trapped on a Flaming Tree,9,9,10,7
418,A Carnival Ride Almost Kills You,8,9,9,7
419,Oops! You Live-Streamed Yourself Masturbating,8,8,9,7
420,You Get Shot in the Heart With Crossbow,10,10,10,7
421,Your Penis is Stuck in a Toilet Pipe,8,8,10,7
422,Your Friend Bites Your Ear Off and tells cops she was a wolf,8,8,10,7
423,Your Anger Management Classmate Stabs You,9,10,10,7
424,Your Home is Trashed in a Drug-Fueled Orgy,8,8,10,7
425,You Get Bitten by a Snake While Sleeping,6,8,8,7
426,You Discover Your Ex was Living in Your Attic 12 years after breakup,7,7,7,7
427,Flight Takes Off Without Your Baby and has to turn around,9,10,8,7
428,A Freeway Sign Crushes Your Car,8,8,9,7
429,You are a woman who has 44 Kids by age 36,7,6,10,7
430,Surprise! You're Related to Your Husband,5,6,10,7
431,You Grow a Devil Horn and it is taken off,3,4,7,7
432,Your Nose Job Gets Botched,6,6,8,7
433,Whoops! You Accidentally Shoot Your Mother-in-Law with bullet after shooting at an armadillo,9,8,9,7
434,You Ski Into a Grizzly Bear,9,9,10,7
435,You are a pilot in a jet and are about to start the plane on the runway while another plane on the runway hits your plane and you survive,8,8,8,7
436,You Have a Baby With Your Half Sibling,8,9,10,7
437,Your Dog Ate Your Toes,6,5,10,7
438,You're a Priest Who Gets Caught Having Sex With a Nun,7,6,10,7
439,You Get Tapeworms From Sashimi,6,6,9,7
440,You Crash Into a Bonfire after colliding with someone,6,7,9,7
441,You admitted murder while having a heart attack and would survive,10,8,8,7
442,Your Wife Is having sex with the Weatherman,7,7,10,7
443,You mistakenly became a getaway driver after a first date ended with a bank robbery,8,7,9,7
444,You Spend a Day in the Scold's Bridle that includes an iron mask with a metal tongue depressor,8,7,10,7
445,You're Almost Run Over by a Truck after falling off a motorcycle,8,9,9,7
446,Your Psychic Powers Fail - as a psychic and you get hit by car,7,8,9,7
447,You Have 420 Kidney Stones Removed,8,9,10,7
448,A Car Knocks You into a Sewer and you needed surgery for a spinal cord injury,8,10,9,7
449,Your Henna Tattoo Gives you Hep-C,7,10,10,7
450,Your Boat Explodes,9,9,9,7
451,You're Stuck in the pavement hole for Two Hours,4,4,8,7
452,You Get Hit by a Drift Car,8,7,8,7
453,You are a 52-yr-old woman swinger who had a heart attack at a sex festival,5,8,9,7
454,Your Child Falls Through a Manhole,8,10,9,7
455,Barber Slices Half Your Ear Off,7,8,9,7
456,You Motorcyle off a Cliff,9,10,10,7
457,You're Trapped in Your Car for 13 Hours,5,7,10,7
458,You Contract Super-Gonorrhea,7,8,8,8
459,Dad Tries to Kill You with a Chainsaw,10,10,10,8
460,Your Landlord pees on Your Lunch,5,7,10,8
461,Exploding Vape Breaks Your Jaw,9,8,8,8
462,Severely Burn Your Junk,9,9,10,8
463,You Confuse a Stick of Dynamite for a Candle,9,10,10,8
464,You Are Mistakenly Deported,8,8,9,8
465,You Are Stuck Inside Your Mistress,5,6,9,8
466,You Get Hit by a Bus,9,10,10,8
467,You Drive an SUV Off a Cliff,8,10,10,8
468,Ruptured Your Bladder Jumping a Fence,8,8,8,8
469,A Python Bites Your Penis while you are sitting on a toilet,8,8,9,8
470,A Cliff Falls on You,10,10,10,8
471,You Fall off a Cruise Ship Taking a Selfie,9,8,8,8
472,You Cause Your Kid to Get Hit by a Car,9,10,10,8
473,Boiling Butter Poured Down Your Butt and you got burnt,8,8,10,8
474,You're Allergic to Everything including your own hair,9,7,8,8
475,You explode while on BBC,10,10,10,8
476,You suffered rectal blowout after your friends put air compressor into your anus,10,10,10,8
477,You're Trapped in a Coma for 12 Years,10,10,10,8
478,You are a patient with bizarre form of amnesia and you feel like you are still in 2005 after a routine dental treatment,6,8,8,8
479,You Have a Fork in Your Penis that is surgically removed,8,8,9,8
